Country,Country Code,Series Name,Series Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Egypt,EGY,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,13.8328530259369,25.3164556962023,20.2020202020203,21.2605042016806,23.2848232848234,28.7616511318242,-14.5122371596001,-2.98387096774192,1.24688279301741,-2.29885057471265,4.51565914056806,-10.9407665505227,-0.0391236306727762,-15.0293542074365,86.0432980193459,31.5904536345416,-2.6858645991968,-23.6591264760279,-13.8464405516214,57.3437162016008,31.3725490196078,-10.6156716417911
Egypt,EGY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.7964071856287,28.2299608489594,30.3435468895079,29.9498138254816,30.249731471536,33.0429927414852,24.9568221070812,21.3492458146859,20.5674276128656,16.3969666208873,17.0178456245969,14.2441314553991,13.1838454928598,10.3454639403558,15.0140868185672,17.984655608418,16.6440314510365,12.4727757370868,10.5611502153652,15.0870258208479,19.1060913405676,16.3762422101126
Egypt,EGY,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,20060300000,26516200000,30715800000,36680100000,44398000000,54760900000,44609100000,48831200000,47053000000,48601300000,44795200000,47166300000,37569400000,33624300000,42874700000,51619507000,53522607000,40101707000,58339318000,76295439000,68217500000,64373200000
Egypt,EGY,Imports of goods and services (current US$),NE.IMP.GNFS.CD,19576923076.9231,23311688311.6883,29237429237.4292,33913043478.2609,45429071803.8529,62909090909.0909,59764065335.7532,58221415607.9855,58261617900.1721,67866666666.6667,67364341085.2713,69296987087.5179,71347708894.8787,66159509202.454,69089673913.0435,73331457512.6618,78012528473.8041,75433562071.1167,81943913320.5864,104389057750.76,84507686602.5298,90357257459.4849
Egypt,EGY,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.28055878928983,17.241379310345,23.8235294117646,21.7735550277118,28.8036410923277,26.2914417887434,-17.887667887668,-3.1598513011153,8.40690978886809,10.8002832861188,0.589390962671274,0.0976562500006253,0.951219512194456,-2.22275912056008,52.5080306399801,7.2468043264504,-8.58164481525607,-18.7243004713672,0.468904244817139,24.2937853107349,1.12392266480316,4.65937230060467
Egypt,EGY,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,24.3832335329341,29.5899443643107,32.6090993500464,31.5687226809131,34.828141783029,38.6376326074819,31.596622529265,26.5871042599039,24.6882065494858,24.3148026512211,23.3551924317351,22.6760563380282,21.6620974671631,19.9010851110947,27.8180475395935,27.9263640649779,24.4799857040743,19.6534798296655,19.295823265447,21.8960790564233,21.3443094314355,23.2245098772607
Turkiye,TUR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,7.70824416163984,12.1638579694563,8.33154118596318,5.70105191489516,6.97694157463458,3.88358979201797,-3.61690652723715,1.72151521225091,12.921054533071,14.4977541271679,4.93265354079755,7.07792912455565,3.23879844031802,-1.74188879026667,12.4092914415564,9.09060672084495,5.27852045348192,-14.623752637499,25.0563247504329,9.93207204453337,-2.83586643727999,0.945775385198871
Turkiye,TUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.0061778959535,23.6247532110161,21.8762675597935,22.3948339423242,21.8895256942149,23.5662909262571,23.3701991459541,21.1941333155525,22.9937012536403,24.3608755208614,23.7930095050818,25.2055416974053,24.5312773389092,23.0835091311263,26.0394223439924,31.2326962348151,33.0742160572998,29.1207901808282,35.7436961064769,38.5842021809785,31.9158356904098,28.045069179622
Turkiye,TUR,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,70502000000,91918000000,106331000000,119871000000,145385000000,178018000000,145548000000,157441000000,183647000000,211638000000,233378000000,242604000000,216887000000,204025000000,228329000000,244379000000,253865000000,207638000000,287536000000,346602000000,357588000000,372725000000
Turkiye,TUR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,73045693374.2425,103038524359.592,122862782500.225,146890048114.989,176879760094.74,207882299722.94,152043222792.846,198129231745.837,254239800352.845,250693618990.19,275216770005.589,268166855331.083,229538119984.162,219548635276.238,255314971383.993,244453305856.842,229207956545.671,232114423840.408,289730104250.561,386304799043.559,384240316121.988,367556720372.082
